id,view_count,rating_count,upvote_count,share_count,comment_count
971,1,0,0,0,0
970,0,0,0,0,0
969,1,0,0,0,0
968,1,0,0,0,0
966,1,0,0,0,0
965,1,0,0,0,0
964,0,0,0,0,0
963,0,0,0,0,0
962,0,0,0,0,0
961,0,0,0,0,0
960,0,0,0,0,0
959,2,0,1,0,0
958,0,0,0,0,0
948,7,0,3,0,0
947,2,0,1,0,0
946,3,0,0,0,0
945,3,0,1,0,1
944,0,0,0,0,0
943,1,0,0,0,0
942,13,6,2,0,0
941,1,0,1,0,0
939,2,0,1,0,0
938,3,0,1,0,0
937,0,0,0,0,0
936,0,0,0,0,0
935,0,0,0,0,0
934,1,0,0,0,0
933,3,0,0,0,0
932,1,0,0,0,0
931,1,0,0,0,0
930,2,0,0,0,0
929,0,0,0,0,0
928,1,0,0,0,0
927,0,0,0,0,0
926,0,0,0,0,0
925,0,0,0,0,0
924,0,0,0,0,0
923,2,0,0,0,0
922,1,0,1,0,0
921,1,0,0,0,0
920,1,0,1,0,0
919,1,0,1,0,0
918,3,0,0,0,0
917,4,0,1,0,0
916,3,1,0,0,0
915,1,1,0,0,0
914,1,1,0,0,0
913,1,0,0,0,0
912,0,0,0,0,0
910,0,0,0,0,0
909,1,0,1,0,0
908,4,0,1,0,0
907,0,0,0,0,0
906,0,0,0,0,0
905,0,0,0,0,0
904,1,0,1,0,0
903,3,0,0,0,0
902,2,0,0,0,0
901,2,0,0,0,0
900,2,0,0,0,0
899,1,0,0,0,0
898,5,1,1,0,0
897,3,1,0,0,0
896,2,1,0,0,0
895,3,0,0,0,0
894,1,0,1,0,0
893,0,0,0,0,0
892,2,1,0,0,0
891,2,0,0,0,0
890,1,0,0,0,0
889,1,0,0,0,0
888,4,0,0,0,0
887,2,0,0,0,0
886,3,0,2,0,0
885,3,0,0,0,0
884,3,0,1,0,0
883,3,0,1,0,0
882,3,0,0,0,0
881,0,0,0,0,0
880,1,0,0,0,0
879,2,0,0,0,0
878,6,0,0,0,0
877,2,0,0,0,0
876,2,0,0,0,0
875,1,0,0,0,0
874,0,0,0,0,0
873,0,0,0,0,0
872,0,0,0,0,0
871,1,0,0,0,0
870,1,0,0,0,0
869,3,0,0,0,0
868,4,3,0,0,0
867,7,1,0,0,0
866,2,1,1,0,0
865,7,3,0,0,0
864,8,3,0,0,0
863,3,1,0,0,0
862,4,1,0,0,0
861,4,5,0,0,0
860,3,0,0,0,0
859,1,0,0,0,0
858,0,0,0,0,0
857,0,0,0,0,0
856,0,0,0,0,0
855,0,0,0,0,0
854,0,0,0,0,0
853,1,0,0,0,0
852,3,0,0,0,0
851,3,0,0,0,0
850,0,0,0,0,0
849,6,4,0,0,0
848,7,6,0,0,0
847,19,4,4,0,0
845,8,4,0,0,0
844,6,5,0,0,0
842,7,2,0,0,0
841,38,21,0,0,0
838,8,3,0,0,0
837,11,8,0,0,0
834,3,3,0,0,0
833,2,0,0,0,0
832,1,0,0,0,0
831,1,0,0,0,0
830,3,0,0,0,0
829,2,0,1,0,0
828,2,0,0,0,0
827,2,0,0,0,0
826,1,0,0,0,0
825,1,0,0,0,0
824,0,0,0,0,0
822,16,6,1,0,0
821,7,5,1,0,0
820,11,2,0,0,0
818,4,2,0,0,0
817,7,5,0,0,0
816,10,4,1,0,0
815,14,4,1,0,0
814,8,4,2,0,0
813,7,4,1,0,0
812,7,5,0,0,0
811,5,5,1,0,0
810,5,0,0,0,0
809,0,0,0,0,0
808,2,0,0,0,0
807,1,0,0,0,0
806,0,0,0,0,0
805,0,0,0,0,0
804,0,0,0,0,0
803,0,0,0,0,0
802,0,0,0,0,0
801,0,0,0,0,0
800,0,0,0,0,0
798,7,3,0,0,0
797,8,5,0,0,0
796,11,9,2,0,0
795,0,0,0,0,0
794,0,0,0,0,0
793,5,3,0,0,0
792,7,6,0,0,0
791,7,2,0,0,0
790,10,3,0,0,0
789,9,3,0,0,0
788,9,5,2,0,1
786,6,4,0,0,0
785,13,5,0,0,2
784,22,0,4,0,0
782,9,8,0,0,0
781,9,4,1,0,0
780,30,14,2,0,0
779,28,14,1,0,0
778,6,3,0,0,0
777,1,0,0,0,0
776,5,3,0,0,0
775,9,3,2,0,0
774,8,4,1,0,0
773,12,4,1,0,0
772,10,4,0,0,0
771,10,4,0,0,0
770,26,13,2,0,0
769,4,2,0,0,1
768,2,0,0,0,2
767,20,15,0,0,1
766,1,0,0,0,1
765,3,0,0,0,1
764,3,0,1,0,0
762,2,0,0,0,0
761,3,0,0,0,0
760,1,0,0,0,0
759,3,0,0,0,0
758,4,0,1,0,0
757,2,0,0,0,0
756,2,0,0,0,0
755,2,0,0,0,0
754,1,0,0,0,0
753,1,0,0,0,0
